first_word,ends_question,tag,hour_utc,weekday_utc,account_creation_year,question_length,time_to_answer,chance_of_answer,questions
is,true,python,00,Wednesday,2017,short,18.507713446238277,1,5
why,true,python,00,Monday,2014,short,3.556893304490063,1,3
what,true,python,00,Saturday,2018,medium,3.0000000000000004,0.5,2
how,false,python,00,Friday,2011,medium,13.153723430580326,0.8,10
why,true,python,00,Sunday,2019,medium,26.560366072807717,1,4
why,true,python,00,Monday,2016,short,122.22693584514802,0.75,4
how,false,python,00,Monday,2019,long,128.11896423583923,0.84615384615384615,13
why,false,python,00,Monday,2011,short,,0,1
how,true,python,00,Thursday,2012,long,30.926638876990133,0.75,4
how,false,python,00,Saturday,2017,short,91.131005539545129,0.90909090909090906,11
is,true,python,00,Sunday,2019,long,,0,4
how,true,python,00,Thursday,2016,medium,41.548573762055561,0.8666666666666667,15
how,false,python,00,Thursday,2019,long,108.67812379348356,0.73333333333333328,15
how,false,python,00,Tuesday,2017,short,25.515107981724153,0.80952380952380953,21
why,true,python,00,Tuesday,2017,medium,10.046450567067556,0.6,5
how,false,python,00,Thursday,2017,medium,16.903754797904718,0.8,20
how,true,r,00,Thursday,2019,long,1724.3665503598716,0.5,4
how,true,python,00,Saturday,2016,medium,138.0872420545968,0.82352941176470584,17
how,true,python,00,Saturday,2018,medium,59.22628049560538,0.90476190476190477,21
how,true,python,00,Friday,2016,short,85.0744095071833,0.63636363636363635,11
what,true,python,00,Saturday,2017,short,13.999999999999996,0.5,2
is,true,python,00,Monday,2017,medium,3.0000000000000004,1,1
how,true,python,00,Thursday,2011,short,2.7144176165949063,0.75,4
can,false,mysql,00,Friday,2018,medium,,0,1
how,true,python,00,Wednesday,2016,medium,29.882166327402004,0.78947368421052633,19
is,true,python,00,Thursday,2019,long,63.639610306789272,1,2
how,true,python,00,Saturday,2018,short,33.86850947825674,0.88235294117647056,17
how,false,python,00,Sunday,2019,long,82.72175568513174,0.5714285714285714,7
how,true,mysql,00,Saturday,2019,medium,21.213203435596427,1,2
how,false,r,00,Wednesday,2017,short,58.706578075694061,0.8571428571428571,7
how,true,python,00,Sunday,2019,short,14.179758012671908,0.61538461538461542,26
how,false,r,00,Friday,2014,medium,7.8297352823377269,1,3
how,true,python,00,Thursday,2011,long,589.17739264163913,1,2
how,true,r,00,Tuesday,2014,medium,265.12312227755194,0.8571428571428571,7
how,true,python,00,Saturday,2019,medium,87.689670031963644,0.69565217391304346,23
is,true,python,00,Monday,2017,short,780.24995994873348,0.66666666666666663,3
is,true,python,00,Thursday,,medium,92.4499864791769,1,2
how,false,r,00,Friday,2017,medium,34.704683204010969,0.8571428571428571,7
how,true,python,00,Wednesday,2018,medium,34.705858732990329,0.8214285714285714,28
how,false,machine-learning,00,Thursday,2013,long,81.000000000000028,1,1
how,false,mysql,00,Sunday,2011,long,6,1,1
what,true,python,00,Sunday,2019,short,331.99999999999989,1,1
i,false,machine-learning,00,Friday,2015,medium,,0,1
how,false,mysql,00,Sunday,2016,medium,106.80823938254949,1,2
why,true,r,00,Wednesday,2019,short,23.937418407171641,1,2
can,true,python,00,Saturday,2014,long,31,1,1
how,true,python,00,Tuesday,2017,short,45.370685353923207,0.85185185185185186,27
how,false,python,00,Sunday,2017,medium,69.4235091617614,0.8125,16
how,true,python,00,Tuesday,2009,medium,29.000000000000004,0.5,2
how,true,python,00,Tuesday,2018,long,72.65751365272726,0.8,20
how,true,python,00,Wednesday,2019,long,178.35332586231658,0.5714285714285714,14
how,true,python,00,Thursday,2018,short,29.089368221822944,0.94444444444444442,18
what,true,python,00,Sunday,2010,short,2,1,1
why,true,python,00,Tuesday,2017,short,14.829331479148179,1,4
how,true,python,00,Thursday,2015,medium,36.745527050407183,0.7857142857142857,14
how,false,r,00,Monday,2018,short,15.999999999999998,0.5,2
how,false,python,00,Friday,2016,short,39.834162204873785,1,9
i,false,r,00,Friday,2017,medium,791.00000000000034,1,1
how,true,python,00,Sunday,2017,medium,21.301848689039172,0.94444444444444442,18
why,true,python,00,Wednesday,2009,long,4,1,1
i,true,mysql,00,Tuesday,2015,short,248.00000000000009,1,1
is,true,python,00,Saturday,2016,medium,34.058772731852805,1,2
is,true,r,00,Saturday,2016,medium,19.999999999999996,1,1
how,false,python,00,Thursday,2017,long,196.99224220278126,0.8,5
how,false,python,00,Sunday,2017,short,37.793439136091322,0.81818181818181823,11
how,true,python,00,Friday,2018,medium,25.981860035580407,0.96551724137931039,29
how,false,r,00,Saturday,2019,short,11.747340124470728,0.66666666666666663,3
how,true,python,00,Saturday,2019,long,31.382682922638708,0.63636363636363635,11
how,false,python,00,Tuesday,2019,medium,57.360180893666879,0.82608695652173914,23
how,false,python,00,Monday,2018,long,52.091130715328561,0.76923076923076927,13
how,true,python,00,Tuesday,2017,long,91.6320687319801,0.77777777777777779,18
can,true,python,00,Monday,2015,long,131.99999999999997,1,1
how,false,r,00,Sunday,2019,medium,30.94260868349112,0.83333333333333337,6
why,true,mysql,00,Thursday,2018,short,6,1,1
how,true,mysql,00,Sunday,2013,medium,,0,1
can,true,r,00,Friday,2011,short,48.999999999999993,1,1
how,false,python,00,Friday,2017,long,87.665762761675168,0.76923076923076927,13
why,false,r,00,Wednesday,2016,medium,43,1,1
can,true,python,00,Monday,2017,medium,2000.1227462333391,1,2
how,true,python,00,Monday,2018,medium,35.824256236612172,0.7,20
how,true,python,00,Friday,2017,medium,27.349584853253738,0.88,25
can,false,python,00,Thursday,2018,long,1108.0000000000002,0.5,2
why,true,python,00,Thursday,2014,short,4,0.5,2
what,true,python,00,Monday,2019,medium,57.008309038018552,1,3
how,true,python,00,Monday,2014,medium,49.2461807468564,1,9
how,true,python,00,Thursday,2019,short,32.312201340368574,0.88235294117647056,17
why,true,python,00,Friday,2012,medium,4.9999999999999991,0.5,2
how,true,python,00,Thursday,2018,medium,51.991742197604758,0.7931034482758621,29
how,false,r,00,Tuesday,2016,medium,47.56048780237645,0.66666666666666663,3
is,true,python,00,Thursday,2018,long,,0,1
how,true,mysql,00,Wednesday,,short,539.00000000000023,1,1
why,true,python,00,Thursday,2010,medium,4,1,1
is,true,python,00,Friday,2019,short,10.384988203702205,1,3
how,false,python,00,Sunday,2016,medium,55.684854345836861,0.7142857142857143,7
how,true,python,00,Wednesday,2018,short,18.494925382969438,0.9,10
why,false,python,00,Wednesday,2016,long,10757.000000000002,0.5,2
